source_query,area,name,address,city,state,zip,phone,website,maps_url,place_id,google_rating,review_count,site_score_1_10,score_breakdown_json,score_reasons,crawl_status,crawl_notes,last_crawled_utc
mobile home park,"Broward County, FL",Coral Cay Plantation Homeowner,"6103 Colonial Dr, Margate, FL 33063",Margate,FL,33063,(954) 971-6320,,https://www.google.com/maps/place/?q=place_id:ChIJpbhZWrcE2YgRKgk56yq6oTQ,ChIJpbhZWrcE2YgRKgk56yq6oTQ,4,115,1,{},No website,no_website,,2025-12-18T05:01:22.416715+00:00
mobile home park,"Broward County, FL","Lauderdale Mobile Home Park, LLC","5601 FL-7, Fort Lauderdale, FL 33319",Fort Lauderdale,FL,33319,(954) 731-8600,,https://www.google.com/maps/place/?q=place_id:ChIJGSbIlRYE2YgRccCa58uk1UI,ChIJGSbIlRYE2YgRccCa58uk1UI,2.8,27,1,{},No website,no_website,,2025-12-18T05:01:22.416346+00:00
mobile home park,"Broward County, FL",Cypress Creek Mobile Home & Country Club,"901 NE 62nd St, Fort Lauderdale, FL 33334",Fort Lauderdale,FL,33334,(954) 772-7616,http://cypresscreekmobilehome.com/,https://www.google.com/maps/place/?q=place_id:ChIJR7Vl504C2YgRU5jnmyp-VI8,ChIJR7Vl504C2YgRU5jnmyp-VI8,4.1,53,8,"{""technical"": 3, ""mobile"": 10, ""performance"": 10, ""conversion"": 10, ""trust"": 7, ""modernity"": 9}",No HTTPS; Missing meta description; Missing H1,success,Crawled 4 page(s),2025-12-18T05:01:22.414187+00:00
manufactured home community,"Broward County, FL",Golf View Estates Mobile Home,"901 NW 31st Ave, Pompano Beach, FL 33069",Pompano Beach,FL,33069,(954) 972-4140,https://www.golfviewestates.com/sales.html,https://www.google.com/maps/place/?q=place_id:ChIJP9PYTGwD2YgRP25F69Kghc4,ChIJP9PYTGwD2YgRP25F69Kghc4,4.3,115,1,{},Crawl failed: HTTP 404,failed,HTTP 404,2025-12-18T05:01:22.416743+00:00
manufactured home community,"Broward County, FL",Deerfield Lake MHC,"4400 NW 69th Ct, Coconut Creek, FL 33073",Coconut Creek,FL,33073,(954) 421-1116,http://deerfieldlakemhc.com/,https://www.google.com/maps/place/?q=place_id:ChIJzUmzhhAd2YgR2SIxePVEgGM,ChIJzUmzhhAd2YgR2SIxePVEgGM,3.9,35,10,"{""technical"": 9, ""mobile"": 10, ""performance"": 10, ""conversion"": 10, ""trust"": 7, ""modernity"": 10}",Title too long,success,Crawled 4 page(s),2025-12-18T05:01:22.417760+00:00
RV park,"Broward County, FL",Deerfield Trailer and RV Park,"435 Federal Hwy, Deerfield Beach, FL 33441",Deerfield Beach,FL,33441,(954) 427-7934,,https://www.google.com/maps/place/?q=place_id:ChIJ9Zaz5X3i2IgRqABRvNQf1ms,ChIJ9Zaz5X3i2IgRqABRvNQf1ms,3.4,22,1,{},No website,no_website,,2025-12-18T05:01:25.289437+00:00
mobile home park,"Broward County, FL",Highland Village,"4900 NE 2nd Ave, Pompano Beach, FL 33064",Pompano Beach,FL,33064,(954) 421-3900,http://www.highlandvillagefl.com/,https://www.google.com/maps/place/?q=place_id:ChIJjTbnXRUd2YgRKp1cNTK6TpY,ChIJjTbnXRUd2YgRKp1cNTK6TpY,3.9,189,9,"{""technical"": 7, ""mobile"": 10, ""performance"": 10, ""conversion"": 8, ""trust"": 7, ""modernity"": 10}",Missing meta description; Email not visible,success,Crawled 4 page(s),2025-12-18T05:01:22.415608+00:00
trailer park,"Broward County, FL",Jrretreatllc,"4158 Inverrary Dr, Lauderhill, FL 33319",Lauderhill,FL,33319,(954) 562-2128,http://www.jrretreatllc.com/,https://www.google.com/maps/place/?q=place_id:ChIJA17IMuMH2YgR4Awb8DHat78,ChIJA17IMuMH2YgR4Awb8DHat78,,,9,"{""technical"": 10, ""mobile"": 10, ""performance"": 10, ""conversion"": 8, ""trust"": 7, ""modernity"": 10}",Email not visible,success,Crawled 4 page(s),2025-12-18T05:01:23.217921+00:00
manufactured home community,"Broward County, FL",Country Lakes,"6800 NW 39th Ave lot#268, Coconut Creek, FL 33073",Coconut Creek,FL,33073,(954) 427-8433,http://www.countrylakesfl.com/,https://www.google.com/maps/place/?q=place_id:ChIJMVA-MYYc2YgRcFG8yJZgQeE,ChIJMVA-MYYc2YgRcFG8yJZgQeE,3.4,146,9,"{""technical"": 7, ""mobile"": 10, ""performance"": 10, ""conversion"": 8, ""trust"": 7, ""modernity"": 10}",Missing meta description; Email not visible,success,Crawled 4 page(s),2025-12-18T05:01:23.069954+00:00
mobile home park,"Broward County, FL",Sunshine Holiday MHCC RV and Camping Resort,"2802 W Oakland Park Blvd, Fort Lauderdale, FL 33311",Fort Lauderdale,FL,33311,(954) 731-1722,http://www.rvonthego.com/Sunshine-Holiday-MHCC-RV-Resort.html,https://www.google.com/maps/place/?q=place_id:ChIJnQgBBU4B2YgRXX7nDWIuZUY,ChIJnQgBBU4B2YgRXX7nDWIuZUY,3.4,494,9,"{""technical"": 9, ""mobile"": 10, ""performance"": 10, ""conversion"": 8, ""trust"": 7, ""modernity"": 10}",Title too long; Email not visible,success,Crawled 4 page(s),2025-12-18T05:01:22.417585+00:00
