source_query,area,name,address,city,state,zip,phone,website,maps_url,place_id,google_rating,review_count,site_score_1_10,score_breakdown_json,score_reasons,crawl_status,crawl_notes,last_crawled_utc,latitude,longitude
mobile home park,"Cape Coral, FL",Coralwood Village Mobile Home,"Cape Coral, FL 33993",,FL,33993,(239) 574-4945,,https://www.google.com/maps/place/?q=place_id:ChIJK-82UZBG24gRVBW8RqRaBb0,ChIJK-82UZBG24gRVBW8RqRaBb0,4.2,46,1,{},No website,no_website,,2025-12-19T18:29:08.877214+00:00,26.6494964,-81.9830764
mobile home park,"Cape Coral, FL",Blevins Mobile Home LLC,"1011 NE Pine Island Ln, Cape Coral, FL 33909",Cape Coral,FL,33909,(239) 333-8959,,https://www.google.com/maps/place/?q=place_id:ChIJv7BeUzdD24gRi1PptA91Zzw,ChIJv7BeUzdD24gRi1PptA91Zzw,5,3,1,{},No website,no_website,,2025-12-19T18:29:08.877818+00:00,26.659522,-81.9562283
mobile home park,"Cape Coral, FL",Island Coast Trailers,"2404 Andalusia Blvd, Cape Coral, FL 33909",Cape Coral,FL,33909,(239) 458-9442,http://www.islandcoasttrailers.com/,https://www.google.com/maps/place/?q=place_id:ChIJTVOU0HlE24gRPuPyBmPlFZc,ChIJTVOU0HlE24gRPuPyBmPlFZc,4.8,119,1,{},Crawl failed: HTTP 403,failed,HTTP 403,2025-12-19T18:29:08.878214+00:00,26.6975981,-81.9572638
manufactured home community,"Cape Coral, FL",Hamilton-Franklin Realty,"1136 NE Pine Island Rd, Cape Coral, FL 33909, United States",Cape Coral,FL,33909,(239) 236-1239,http://hamiltonfranklinrealty.com/,https://www.google.com/maps/place/?q=place_id:ChIJf-ZXiFVB24gRqvmr69K72ZE,ChIJf-ZXiFVB24gRqvmr69K72ZE,4.3,8,10,"{""technical"": 10, ""mobile"": 10, ""performance"": 10, ""conversion"": 10, ""trust"": 7, ""modernity"": 10}",Good overall,success,Crawled 4 page(s),2025-12-19T18:29:08.878041+00:00,26.6626339,-81.950141
manufactured home community,"Cape Coral, FL",Stonewater by D.R. Horton,"816 Stonewater Lk Ter, Cape Coral, FL 33993, United States",Cape Coral,FL,33993,(239) 829-9257,https://www.drhorton.com/florida/southwest-florida/cape-coral/stonewater?utm_source=googlemybusiness&utm_medium=organic&utm_content=577-51&utm_campaign=GMB,https://www.google.com/maps/place/?q=place_id:ChIJu9RG0CFH24gRMqm4_B_jl8E,ChIJu9RG0CFH24gRMqm4_B_jl8E,4.6,44,9,"{""technical"": 10, ""mobile"": 10, ""performance"": 10, ""conversion"": 8, ""trust"": 7, ""modernity"": 10}",Email not visible,success,Crawled 4 page(s),2025-12-19T18:29:08.878990+00:00,26.661998,-81.993056
trailer park,"Cape Coral, FL",Cabana Club South Apartments,"4616 SW 8th Pl, Cape Coral, FL 33914",Cape Coral,FL,33914,(239) 541-3007,,https://www.google.com/maps/place/?q=place_id:ChIJAzjhWYE424gRy4gn5_6VMwA,ChIJAzjhWYE424gRy4gn5_6VMwA,4,8,1,{},No website,no_website,,2025-12-19T18:29:13.864944+00:00,26.5656048,-81.9921148
manufactured home community,"Cape Coral, FL",Cape Harbour,"Cape Harbour Dr, Cape Coral, FL 33914",Cape Coral,FL,33914,(239) 945-4330,http://www.capeharbour.com/,https://www.google.com/maps/place/?q=place_id:ChIJd2SxTV0424gRYu9IYM4QOo8,ChIJd2SxTV0424gRYu9IYM4QOo8,4.6,341,9,"{""technical"": 10, ""mobile"": 10, ""performance"": 10, ""conversion"": 8, ""trust"": 7, ""modernity"": 10}",Email not visible,success,Crawled 4 page(s),2025-12-19T18:29:09.172361+00:00,26.5450458,-82.0076065
trailer park,"Cape Coral, FL",Outlaw Trailer Rental and Sales,,,,,(239) 365-9898,https://outlawtrailerrentalandsales.com/,https://www.google.com/maps/place/?q=place_id:ChIJSUAvrGI1eQwRjIs77yYSpa4,ChIJSUAvrGI1eQwRjIs77yYSpa4,5,9,9,"{""technical"": 7, ""mobile"": 10, ""performance"": 10, ""conversion"": 8, ""trust"": 7, ""modernity"": 10}",Missing meta description; Email not visible,success,Crawled 4 page(s),2025-12-19T18:29:08.878549+00:00,26.6476255,-81.9959416
trailer park,"Cape Coral, FL",Sands Park,"2718 SW 43rd Terrace, Cape Coral, FL 33914",Cape Coral,FL,33914,,https://www.capecoral.gov/department/parks_and_recreationhome/sands_park.php,https://www.google.com/maps/place/?q=place_id:ChIJsw-TeB0524gRnl_4dZ762ww,ChIJsw-TeB0524gRnl_4dZ762ww,4.5,82,9,"{""technical"": 7, ""mobile"": 10, ""performance"": 10, ""conversion"": 8, ""trust"": 7, ""modernity"": 10}",Missing meta description; Email not visible,success,Crawled 4 page(s),2025-12-19T18:29:13.649247+00:00,26.5696976,-82.0300439
RV park,"Cape Coral, FL",Encore Tranquility Lakes,"4316 Boathouse Ln, Cape Coral, FL 33993",Cape Coral,FL,33993,(239) 944-7700,https://thousandtrails.com/florida/tranquility-lakes-rv-resort/?utm_source=yext&utm_medium=directory&utm_campaign=Yext%20Directory%20Listing,https://www.google.com/maps/place/?q=place_id:ChIJozEQgJFP24gRy28Dua6OuI8,ChIJozEQgJFP24gRy28Dua6OuI8,4.6,182,9,"{""technical"": 9, ""mobile"": 10, ""performance"": 10, ""conversion"": 8, ""trust"": 7, ""modernity"": 10}",Title too long; Email not visible,success,Crawled 4 page(s),2025-12-19T18:29:08.877447+00:00,26.7400937,-82.0402498
