source_query,area,name,address,city,state,zip,phone,website,maps_url,place_id,google_rating,review_count,site_score_1_10,score_breakdown_json,score_reasons,crawl_status,crawl_notes,last_crawled_utc,latitude,longitude
mobile home park,"Fort Myers, FL",Reflection Isles,"Fort Myers, FL 33912",,FL,33912,,,https://www.google.com/maps/place/?q=place_id:ChIJ_f39LT5r24gRZL6sdBFiW8c,ChIJ_f39LT5r24gRZL6sdBFiW8c,,,1,{},No website,no_website,,2025-12-19T18:16:16.276684+00:00,26.5812551,-81.8033057
mobile home park,"Fort Myers, FL",Legacy Gateway Apartments,"10900 Legacy Gateway Cir, Fort Myers, FL 33913",Fort Myers,FL,10900,(239) 303-8309,https://www.gciresidential.com/apartments/fl/fort-myers/legacy-gateway-florida-apartments/?utm_source=GMB&utm_medium=Website,https://www.google.com/maps/place/?q=place_id:ChIJd7ZygyMT24gRrf4XJu2qz7k,ChIJd7ZygyMT24gRrf4XJu2qz7k,3.4,172,1,{},Crawl failed: HTTP 403,failed,HTTP 403,2025-12-19T18:16:16.277590+00:00,26.5504637,-81.7756046
trailer park,"Fort Myers, FL",Arborwood,"Fort Myers, FL 33913",,FL,33913,,,https://www.google.com/maps/place/?q=place_id:ChIJl_3YXahs24gROg6UKT5U58E,ChIJl_3YXahs24gROg6UKT5U58E,,,1,{},No website,no_website,,2025-12-19T18:16:17.320780+00:00,26.5648804,-81.7732335
trailer park,"Fort Myers, FL",Paseo,"Fort Myers, FL 33912",,FL,33912,,,https://www.google.com/maps/place/?q=place_id:ChIJLZbB4yRr24gRVDyJxKTp8bM,ChIJLZbB4yRr24gRVDyJxKTp8bM,,,1,{},No website,no_website,,2025-12-19T18:16:17.320803+00:00,26.5744868,-81.8128716
mobile home park,"Fort Myers, FL",Tropical Trailer Park,"1825 Linhart Ave lot 05, Fort Myers, FL 33901",Fort Myers,FL,33901,(239) 332-0019,http://tropicalmhrv.com/,https://www.google.com/maps/place/?q=place_id:ChIJO8ui-tpB24gRMwiIFHXsEAA,ChIJO8ui-tpB24gRMwiIFHXsEAA,3.8,64,9,"{""technical"": 9, ""mobile"": 10, ""performance"": 10, ""conversion"": 10, ""trust"": 5, ""modernity"": 10}",Title too long,success,Crawled 1 page(s),2025-12-19T18:16:16.279146+00:00,26.625668,-81.87494
manufactured home community,"Fort Myers, FL",Heritage Palms,"Fort Myers, FL 33966",,FL,33966,,,https://www.google.com/maps/place/?q=place_id:ChIJaYOUPt5q24gRHLYrdkHI3tQ,ChIJaYOUPt5q24gRHLYrdkHI3tQ,,,1,{},No website,no_website,,2025-12-19T18:16:18.370990+00:00,26.5939101,-81.8197036
manufactured home community,"Fort Myers, FL",Colonial Country Club,"Fort Myers, FL 33913",,FL,33913,,,https://www.google.com/maps/place/?q=place_id:ChIJ1VyIWHBr24gRYp41dc7W_ds,ChIJ1VyIWHBr24gRYp41dc7W_ds,,,1,{},No website,no_website,,2025-12-19T18:16:18.371011+00:00,26.5981895,-81.7923718
manufactured home community,"Fort Myers, FL",Odyssey,"10131 Soltura Dr, Fort Myers, FL 33905",Fort Myers,FL,10131,(844) 946-2246,https://www.liveatodyssey.com/,https://www.google.com/maps/place/?q=place_id:ChIJf807YHFr24gRQH-ieJOMsy8,ChIJf807YHFr24gRQH-ieJOMsy8,4.5,56,1,{},Crawl failed: HTTP 403,failed,HTTP 403,2025-12-19T18:16:18.371019+00:00,26.6266992,-81.7931675
mobile home park,"Fort Myers, FL",PARKWAY PRESERVE VILLAS & TOWNHOMES,"10945 Preachers Cv Ln, Fort Myers, FL 33913",Fort Myers,FL,10945,(239) 747-0974,https://parkwaypreserve.com/,https://www.google.com/maps/place/?q=place_id:ChIJSYCSSuAT24gRqmWvPREIEdc,ChIJSYCSSuAT24gRqmWvPREIEdc,4.8,21,9,"{""technical"": 10, ""mobile"": 10, ""performance"": 10, ""conversion"": 8, ""trust"": 7, ""modernity"": 10}",Email not visible,success,Crawled 4 page(s),2025-12-19T18:16:16.278200+00:00,26.552556,-81.776336
mobile home park,"Fort Myers, FL",Poinsettia Park,"4701 Ballard Rd, Fort Myers, FL 33905",Fort Myers,FL,33905,(239) 694-5355,https://poinsettiapark.org/,https://www.google.com/maps/place/?q=place_id:ChIJ3YgfctZr24gR_MCTMn7q0KE,ChIJ3YgfctZr24gR_MCTMn7q0KE,4.3,113,10,"{""technical"": 9, ""mobile"": 10, ""performance"": 10, ""conversion"": 10, ""trust"": 7, ""modernity"": 10}",Title too long,success,Crawled 4 page(s),2025-12-19T18:16:16.278729+00:00,26.6539816,-81.8161927
