source_query,area,name,address,city,state,zip,phone,website,maps_url,place_id,google_rating,review_count,site_score_1_10,score_breakdown_json,score_reasons,crawl_status,crawl_notes,last_crawled_utc,latitude,longitude
trailer park,"Miami-Dade County, FL",Blue Bell Trailer Park Inc,"3586 NW 41st St, Miami, FL 33142",Miami,FL,33142,(305) 635-1755,,https://www.google.com/maps/place/?q=place_id:ChIJFeeudcqw2YgR1jzWURHB7c4,ChIJFeeudcqw2YgR1jzWURHB7c4,3.8,57,1,{},No website,no_website,,2025-12-19T18:15:51.687833+00:00,25.8121739,-80.2543459
manufactured home community,"Miami-Dade County, FL",Li'l Abner Mobile Home Park,"11239 NW 4th Terrace, Miami, FL 33172",Miami,FL,11239,(305) 221-7174,,https://www.google.com/maps/place/?q=place_id:ChIJhSriy9m-2YgRdBKvyh_RNH4,ChIJhSriy9m-2YgRdBKvyh_RNH4,4,276,1,{},No website,no_website,,2025-12-19T18:15:51.689110+00:00,25.7719433,-80.3782833
manufactured home community,"Miami-Dade County, FL",Honey Hill Mobile Home Park,"4955 NW 199th St Ste 13, Miami Gardens, FL 33055",Miami Gardens,FL,33055,,,https://www.google.com/maps/place/?q=place_id:ChIJF44N8IOl2YgRMxPVBgRGhp8,ChIJF44N8IOl2YgRMxPVBgRGhp8,4.1,424,1,{},No website,no_website,,2025-12-19T18:15:51.688818+00:00,25.955685,-80.283049
trailer park,"Miami-Dade County, FL",Sunnyside Trailer Park,"6024 SW 8th St #d450, West Miami, FL 33144",West Miami,FL,33144,(305) 266-0488,,https://www.google.com/maps/place/?q=place_id:ChIJPQkUVjO42YgRjKIrUKLGcEE,ChIJPQkUVjO42YgRjKIrUKLGcEE,4.1,79,1,{},No website,no_website,,2025-12-19T18:15:51.688360+00:00,25.7622961,-80.2939753
trailer park,"Miami-Dade County, FL",Silver Court Trailer Park Inc,"3170 SW 8th St lot a 124, Miami, FL 33135",Miami,FL,33135,,,https://www.google.com/maps/place/?q=place_id:ChIJo8HvHgm32YgR1ro_gvdYd7o,ChIJo8HvHgm32YgR1ro_gvdYd7o,3.9,52,1,{},No website,no_website,,2025-12-19T18:15:51.688051+00:00,25.7635485,-80.2459018
trailer park,"Miami-Dade County, FL",Holiday Acres Mobile Home Park Inc,"1401 W 29th St, Hialeah, FL 33012",Hialeah,FL,33012,(305) 822-4611,,https://www.google.com/maps/place/?q=place_id:ChIJb9ODCVC62YgRpDWI6bj1-h0,ChIJb9ODCVC62YgRpDWI6bj1-h0,3.6,85,1,{},No website,no_website,,2025-12-19T18:15:51.687851+00:00,25.849365,-80.3110389
trailer park,"Miami-Dade County, FL",Gables Trailer Park,"Little Gables, FL 33134",,FL,33134,,,https://www.google.com/maps/place/?q=place_id:ChIJX8NqbHi32YgRSQtx58JpXUM,ChIJX8NqbHi32YgRSQtx58JpXUM,5,2,1,{},No website,no_website,,2025-12-19T18:15:51.687634+00:00,25.7636572,-80.2671007
trailer park,"Miami-Dade County, FL","Medley MHP, LLC","8181 NW South River Dr, Medley, FL 33166",Medley,FL,33166,(305) 885-7070,http://medleymhp.com/,https://www.google.com/maps/place/?q=place_id:ChIJVe0D-lG62YgR300_YcIeetQ,ChIJVe0D-lG62YgR300_YcIeetQ,4.5,103,7,"{""technical"": 7, ""mobile"": 10, ""performance"": 9, ""conversion"": 2, ""trust"": 5, ""modernity"": 10}",Missing meta description; Moderate load time (>3s); Phone not visible on homepage; Email not visible,success,Crawled 2 page(s),2025-12-19T18:15:51.688536+00:00,25.8470564,-80.3164682
manufactured home community,"Miami-Dade County, FL",Palm Garden,"28501 SW 152nd Ave, Homestead, FL 33033",Homestead,FL,28501,(305) 247-8915,https://palmgardenmhc.com/,https://www.google.com/maps/place/?q=place_id:ChIJs2Hz-nLd2YgRxou3a8YP4Bg,ChIJs2Hz-nLd2YgRxou3a8YP4Bg,4.1,195,10,"{""technical"": 10, ""mobile"": 10, ""performance"": 10, ""conversion"": 10, ""trust"": 7, ""modernity"": 10}",Good overall,success,Crawled 4 page(s),2025-12-19T18:15:51.689330+00:00,25.5025716,-80.4353123
manufactured home community,"Miami-Dade County, FL",Silver Palm Place,"17350 SW 232nd St, Miami, FL 33170",Miami,FL,17350,(786) 410-5603,http://silverpalmplace.com/,https://www.google.com/maps/place/?q=place_id:ChIJVYfdSQzo2YgRZm--V_KsIBI,ChIJVYfdSQzo2YgRZm--V_KsIBI,4.5,34,9,"{""technical"": 7, ""mobile"": 10, ""performance"": 10, ""conversion"": 10, ""trust"": 7, ""modernity"": 10}",Missing meta description,success,Crawled 4 page(s),2025-12-19T18:15:51.688691+00:00,25.5497153,-80.4733243
