source_query,area,name,address,city,state,zip,phone,website,maps_url,place_id,google_rating,review_count,site_score_1_10,score_breakdown_json,score_reasons,crawl_status,crawl_notes,last_crawled_utc,latitude,longitude
trailer park,"Naples, FL",Naples Mobile Home & RV Park,"2634 Tamiami Trl N, Naples, FL 34103",Naples,FL,34103,(239) 649-7775,,https://www.google.com/maps/place/?q=place_id:ChIJn1XtRefh2ogRWlpStnxgVBk,ChIJn1XtRefh2ogRWlpStnxgVBk,4.4,40,1,{},No website,no_website,,2025-12-19T18:29:42.680616+00:00,26.1788133,-81.7975393
mobile home park,"Naples, FL",VINBO,"1200 Goodlette-Frank Rd, Naples, FL 34101",Naples,FL,34101,(239) 919-3646,http://vinbo.com/,https://www.google.com/maps/place/?q=place_id:ChIJ-5pPZu3h2ogRPkxWG8eoToU,ChIJ-5pPZu3h2ogRPkxWG8eoToU,5,13,8,"{""technical"": 7, ""mobile"": 10, ""performance"": 10, ""conversion"": 4, ""trust"": 7, ""modernity"": 10}",Missing meta description; Email not visible; No obvious contact page link,success,Crawled 4 page(s),2025-12-19T18:29:42.681391+00:00,26.163201,-81.790243
RV park,"Naples, FL",Compass Hotel by Margaritaville Naples,"4805 Tamiami Trl N, Naples, FL 34103",Naples,FL,34103,(239) 659-3500,https://www.compasshotel.com/compass-hotel-naples,https://www.google.com/maps/place/?q=place_id:ChIJ8xttiBUe24gR2-N2-pwQYqo,ChIJ8xttiBUe24gR2-N2-pwQYqo,4.7,250,9,"{""technical"": 10, ""mobile"": 10, ""performance"": 10, ""conversion"": 8, ""trust"": 7, ""modernity"": 10}",Email not visible,success,Crawled 4 page(s),2025-12-19T18:29:42.682007+00:00,26.2051452,-81.8013839
manufactured home community,"Naples, FL",Sun Terrace,"Naples, FL",,,,,,https://www.google.com/maps/place/?q=place_id:ChIJA0PiC-bh2ogRhEvLW12tm-I,ChIJA0PiC-bh2ogRhEvLW12tm-I,,,1,{},No website,no_website,,2025-12-19T18:29:47.370183+00:00,26.1750368,-81.7964722
mobile home park,"Naples, FL",Calusa Bay Properties,"795 Myrtle Terrace, Naples, FL 34103",Naples,FL,34103,(239) 593-5533,https://calusabayproperties.com/,https://www.google.com/maps/place/?q=place_id:ChIJtcHX1EEZ24gRU2BkdPayeww,ChIJtcHX1EEZ24gRU2BkdPayeww,5,4,8,"{""technical"": 6, ""mobile"": 10, ""performance"": 10, ""conversion"": 6, ""trust"": 7, ""modernity"": 10}",Title too long; Missing meta description; No obvious contact page link,success,Crawled 4 page(s),2025-12-19T18:29:42.680879+00:00,26.2104508,-81.8022992
mobile home park,"Naples, FL",Platinum Real Estate,"4851 Tamiami Trl N STE 200, Naples, FL 34103",Naples,FL,34103,(941) 376-7469,http://www.contactplatinum.com/,https://www.google.com/maps/place/?q=place_id:ChIJb1DXrRAf24gR6bM1BJv7gt4,ChIJb1DXrRAf24gR6bM1BJv7gt4,5,1,9,"{""technical"": 10, ""mobile"": 10, ""performance"": 10, ""conversion"": 8, ""trust"": 7, ""modernity"": 10}",Email not visible,success,Crawled 4 page(s),2025-12-19T18:29:42.682555+00:00,26.2057886,-81.8012959
RV park,"Naples, FL",Michael Laskin - State Farm Insurance Agent,"4099 Tamiami Trl N STE 305, Naples, FL 34103",Naples,FL,34103,(239) 261-6665,https://www.laskinteam.com/?y_source=1_MjAxODI0OTE2Ny03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.google.com/maps/place/?q=place_id:ChIJk21MQrAf24gRexHiO9Z5yGM,ChIJk21MQrAf24gRexHiO9Z5yGM,4.9,365,9,"{""technical"": 10, ""mobile"": 10, ""performance"": 9, ""conversion"": 8, ""trust"": 7, ""modernity"": 10}",Page moderately large (>1MB); Email not visible,success,Crawled 4 page(s),2025-12-19T18:29:47.370210+00:00,26.1971487,-81.8006419
RV park,"Naples, FL",La Quinta Inn & Suites by Wyndham Naples Downtown,"1555 5th Ave S, Naples, FL 34102",Naples,FL,34102,(239) 748-0065,https://www.wyndhamhotels.com/laquinta/naples-florida/la-quinta-naples-downtown/overview?CID=LC:6ysy27krtpcrqev:52728&iata=00093796,https://www.google.com/maps/place/?q=place_id:ChIJL0nnjoHh2ogRByt71JSJcFI,ChIJL0nnjoHh2ogRByt71JSJcFI,3.8,889,10,"{""technical"": 9, ""mobile"": 10, ""performance"": 10, ""conversion"": 10, ""trust"": 7, ""modernity"": 10}",Title too long,success,Crawled 4 page(s),2025-12-19T18:29:48.816879+00:00,26.1396785,-81.7831749
trailer park,"Naples, FL",Bayview Boat Ramp,"Danford St, Naples, FL 34112",Naples,FL,34112,(239) 252-4000,https://www.collierparks.com/collier_park/bayview-park/,https://www.google.com/maps/place/?q=place_id:ChIJ9xCQA1rh2ogRjHI8satC_Os,ChIJ9xCQA1rh2ogRjHI8satC_Os,4.5,215,8,"{""technical"": 7, ""mobile"": 10, ""performance"": 9, ""conversion"": 8, ""trust"": 7, ""modernity"": 10}",Missing meta description; Moderate load time (>3s); Email not visible,success,Crawled 4 page(s),2025-12-19T18:29:42.683144+00:00,26.1026844,-81.7841246
trailer park,"Naples, FL",Bayview Park,"1575 Danford St, Naples, FL 34112",Naples,FL,34112,(239) 252-4000,https://www.collierparks.com/collier_park/bayview-park/,https://www.google.com/maps/place/?q=place_id:ChIJhws7G1rh2ogRC83d0_Mwhbw,ChIJhws7G1rh2ogRC83d0_Mwhbw,4.6,166,8,"{""technical"": 7, ""mobile"": 10, ""performance"": 9, ""conversion"": 8, ""trust"": 7, ""modernity"": 10}",Missing meta description; Moderate load time (>3s); Email not visible,success,Crawled 4 page(s),2025-12-19T18:29:46.678363+00:00,26.1032992,-81.7846308
